datetime,open,high,low,close,volume,trades
1640282400,50060.0,50842.0,50060.0,50535.0,21.44589906,590
1640286000,50571.3,51386.4,50480.6,51094.8,35.65907553,533
1640289600,51154.0,51179.1,50767.9,50906.9,14.43628917,299
1640293200,50955.4,50955.4,50681.7,50824.4,5.35397531,135
1640296800,50824.4,50961.8,50726.1,50770.2,6.32839973,162
1640300400,50770.0,50816.7,50578.3,50754.0,2.39257183,116
1640304000,50824.8,50926.4,50643.1,50888.7,0.67115919,61
1640307600,50879.0,51306.9,50875.6,51306.9,8.01490588,168
1640311200,51315.6,51486.6,51045.5,51102.4,1.65043341,99
1640314800,51078.5,51126.2,50931.2,50972.8,3.96223705,59
1640318400,51036.0,51100.5,50982.0,50982.0,3.24788376,70
1640322000,50940.3,50998.0,50825.0,50995.3,1.52481857,73
1640325600,50991.2,50991.2,50787.0,50878.5,0.5928791,46
1640329200,50852.6,51050.6,50832.3,51003.5,19.58264211,118
1640332800,50973.4,51170.0,50920.4,51068.1,11.27617903,113
1640336400,51059.3,51277.3,51050.2,51220.0,3.43611638,112
1640340000,51219.9,51220.0,51093.8,51198.4,3.40275604,89
1640343600,51170.4,51457.6,50878.8,51035.4,12.41197896,191
1640347200,50997.6,51060.9,50853.2,51010.7,6.72568151,140
1640350800,50973.0,51162.2,50887.6,51040.3,13.3004963,138
1640354400,51055.0,51208.2,50721.0,50727.0,7.53074067,127
1640358000,50726.9,50950.5,50337.6,50950.5,26.04489328,318
1640361600,50960.7,51205.1,50885.1,50949.2,6.6810706,116
1640365200,50950.1,51115.7,50766.7,51115.7,1.81339277,101
1640368800,51106.7,51719.5,51105.0,51484.4,13.32031798,217
1640372400,51590.5,51792.5,51103.0,51111.9,38.55104432,484
1640376000,51096.5,51199.9,50794.5,51120.0,9.21477828,180
1640379600,51073.4,51125.0,50871.6,50871.7,7.93441078,92
1640383200,50835.6,50926.4,50492.3,50716.0,6.77046517,129
1640386800,50580.7,50860.1,50556.5,50797.1,2.07350733,53
1640390400,50796.0,51032.4,50663.9,51032.4,2.678618,87
1640394000,51032.4,51062.3,50872.4,50979.2,4.06551064,41
1640397600,51001.0,51074.8,50835.6,50835.6,0.89115099,38
1640401200,50807.3,50926.8,50764.2,50811.1,0.9471934,25
1640404800,50819.8,51018.5,50819.8,50863.1,1.06142274,33
1640408400,50884.6,50998.4,50881.1,50889.4,0.66880602,28
1640412000,50887.0,50969.6,50710.0,50964.6,2.75447867,30
1640415600,50957.3,51046.8,50850.5,50921.5,0.72971062,29
1640419200,50944.8,50951.8,50794.2,50887.8,3.09368645,53
1640422800,50886.5,50990.4,50849.7,50853.3,1.07940462,41
1640426400,50809.5,50828.9,50581.0,50630.8,1.69776258,63
